"","index","file_name","filename","article_title","date","year","newspaper_name","newspaper_city","newspaper_state","collection","abstract","store_id","authors","document_type","issn","pages","find_a_copy","start_page","filepath","url","black_press","file_id2","month","day","page","edition","mod_id","file_id","article_id","sn"
"1",17,"bp17","bp17.txt","HELP MOVE THE HUMP",1911-11-18,1911,"The Pittsburgh Courier (1911-1950)","Pittsburgh","Pennsylvania","ProQuest Historical Newspapers: Pittsburgh Courier",NA,201814913,NA,"editorial_article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+Pittsburgh+Courier+%281911-1950%29&amp;spage=4&amp;date=1911-11-18&amp;atitle=HELP+MOVE+THE+HUMP&amp;au=&amp;id=doi:","4","black_press/bp17.txt","https://www.proquest.com/historical-newspapers/help-move-hump/docview/201814913/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",18,"bp18","bp18.txt","10 COLORED MEN KILLED IN VICKS-BURG IN 30 DAYS: STRANGE TO SAY, NOT ONE HAS BEEN CONVICTED OF ANY CRIME --ALL EXONERATED--NEWS NOT GIVEN TO ASSOCIATED PRESS WHEN A COLORER MAN IS KILLED IN THIS MANNER",1913-11-22,1913,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","Vicksburg, Miss., Nov. 21.--Burke Warren, a respectable race man, who worked for the Y. and M. B. shops, was shot down like a dog on Walnut street by several po ice officers. The Chief of Police Groome added to the mystery of the kiln' g by leis indifference. Anxious to the a human life...",493394944,"Special to the Defender","front_page","2572-1860","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=1&amp;date=1913-11-22&amp;atitle=10+COLORED+MEN+KILLED+IN+VICKS-BURG+IN+30+DAYS&amp;au=Special+to+the+Defender&amp;id=doi:","1","black_press/bp18.txt","https://www.proquest.com/historical-newspapers/10-colored-men-killed-vicks-burg-30-days/docview/493394944/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",19,"bp19","bp19.txt","Editorial Article 3 -- No Title",1914-07-25,1914,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,493220222,NA,"editorial_article","2572-1860","8","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=8&amp;date=1914-07-25&amp;atitle=Editorial+Article+3+--+No+Title&amp;au=&amp;id=doi:","8","black_press/bp19.txt","https://www.proquest.com/historical-newspapers/editorial-article-3-no-title/docview/493220222/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",20,"bp20","bp20.txt","LYNCH MAN TORN BY BLOODHOUNDS",1914-10-03,1914,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,493276133,"Special to The Chicago Defender","front_page","2572-1860","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=1&amp;date=1914-10-03&amp;atitle=LYNCH+MAN+TORN+BY+BLOODHOUNDS&amp;au=Special+to+The+Chicago+Defender&amp;id=doi:","1","black_press/bp20.txt","https://www.proquest.com/historical-newspapers/lynch-man-torn-bloodhounds/docview/493276133/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",21,"bp21","bp21.txt","An Explanation",1916-09-02,1916,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","THE DIFFICULTY of understanding the southern lynching spirit soon disappears after one has had a better acquaintance with actual racial conditions. For instance, in Florida recently, a mob lynched a white man for participating in a shooting feud with another white neighbor. the Negro must be suppressed. And the lynching of white business men is undoubtedly intended to impress the colored population with the might of the mob",493266261,NA,"editorial_article","2572-1860","12","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=12&amp;date=1916-09-02&amp;atitle=An+Explanation&amp;au=&amp;id=doi:","12","black_press/bp21.txt","https://www.proquest.com/historical-newspapers/explanation/docview/493266261/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",22,"bp22","bp22.txt","TOOK REVENGE FOR DEATH OF HIS WIFE: MOB HUNG HER TO TREE, BUT HE KILLED SIX AND MADE HIS GETAWAY",1917-02-03,1917,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,493322009,NA,"front_page","2572-1860","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=1&amp;date=1917-02-03&amp;atitle=TOOK+REVENGE+FOR+DEATH+OF+HIS+WIFE&amp;au=&amp;id=doi:","1","black_press/bp22.txt","https://www.proquest.com/historical-newspapers/took-revenge-death-his-wife/docview/493322009/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,"bp23","bp23.txt","Louisiana's Unpunished Lynchings",1918-03-30,1918,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,493333090,NA,"article","2572-1860","16","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=16&amp;date=1918-03-30&amp;atitle=Louisiana%27s+Unpunished+Lynchings&amp;au=&amp;id=doi:","16","black_press/bp23.txt","https://www.proquest.com/historical-newspapers/louisianas-unpunished-lynchings/docview/493333090/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",24,"bp24","bp24.txt","THE N. A. A. C. P. CALLS ON THE POSTMASTER GENERAL: TO INVESTIGATE LYNCHING OF THE NEGRO POSTAL CLERK IN MISSISSIPPL.",1920-07-10,1920,"Philadelphia Tribune (1912-)","Philadelphia","Pennsylvania","ProQuest Historical Newspapers: Philadelphia Tribune",NA,530826581,NA,"article","0746-956X",NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=0746956X&amp;volume=&amp;issue=&amp;title=Philadelphia+Tribune+%281912-%29&amp;spage=5&amp;date=1920-07-10&amp;atitle=THE+N.+A.+A.+C.+P.+CALLS+ON+THE+POSTMASTER+GENERAL&amp;au=&amp;id=doi:","5","black_press/bp24.txt","https://www.proquest.com/historical-newspapers/n-c-p-calls-on-postmaster-general/docview/530826581/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",25,"bp25","bp25.txt","Governor Offers $400 for Lynchers' Arrest",1920-07-24,1920,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,493596705,NA,"article","2572-1860","15","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=15&amp;date=1920-07-24&amp;atitle=Governor+Offers+%24400+for+Lynchers%27+Arrest&amp;au=&amp;id=doi:","15","black_press/bp25.txt","https://www.proquest.com/historical-newspapers/governor-offers-400-lynchers-arrest/docview/493596705/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",26,"bp26","bp26.txt","PLAN TO BURN TOWN; MEN ARMED: CITIZENS PATROL THE STREETS THROUGHOUT NIGHT TO REPULSE INVASION",1920-05-08,1920,"The Chicago Defender (Big Weekend Edition) (1905-1966)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","Mulberry, Kan., May 7.--This town was thrown into wild excitement following ruiners which started that members of our Race at Croweburg, a mining camp, two and one-half miles west of here, were organizing to march on Mulberry to burn the town. The rumor continued to spread through the...",493406986,NA,"front_page","2572-1860","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25721860&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28Big+Weekend+Edition%29+%281905-1966%29&amp;spage=1&amp;date=1920-05-08&amp;atitle=PLAN+TO+BURN+TOWN%3B+MEN+ARMED&amp;au=&amp;id=doi:","1","black_press/bp26.txt","https://www.proquest.com/historical-newspapers/plan-burn-town-men-armed/docview/493406986/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",27,"bp27","bp27.txt","Point Out Slain Man As Warning",1922-03-25,1922,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,491911443,NA,"front_page","2572-5319","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=1&amp;date=1922-03-25&amp;atitle=Point+Out+Slain+Man+As+Warning&amp;au=&amp;id=doi:","1","black_press/bp27.txt","https://www.proquest.com/historical-newspapers/point-out-slain-man-as-warning/docview/491911443/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",28,"bp28","bp28.txt","ALMOST UNBELIEVABLE",1923-06-16,1923,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","WE ARE INCLINED to give the devil his due and so we chalk up ono credit mark as a starter toward offsetting the scores of discredit marks charged up against Georgia, the state with the blackest and most criminal record of any in the Union. In a nutshell, a black man sentenced to be hanged by one court was acquitted by a higher court. The facts as told by the news service are interesting enough...",491984810,NA,"editorial_article","2572-5319","12","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=12&amp;date=1923-06-16&amp;atitle=ALMOST+UNBELIEVABLE&amp;au=&amp;id=doi:","12","black_press/bp28.txt","https://www.proquest.com/historical-newspapers/almost-unbelievable/docview/491984810/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",29,"bp30","bp30.txt","Virginia Press Flays Bird Lynchers; Wants Members Punished",1926-08-28,1926,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","The lynching of Raymond Bird in Wythe county jail at Wytheville Sunday morning, August 15, by a mob of 50 masked men has drawn a vigorous and practically...",567021719,NA,"front_page",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=1&amp;date=1926-08-28&amp;atitle=Virginia+Press+Flays+Bird+Lynchers%3B+Wants+Members+Punished&amp;au=&amp;id=doi:","1","black_press/bp30.txt","https://www.proquest.com/historical-newspapers/virginia-press-flays-bird-lynchers-wants-members/docview/567021719/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
